run_id,arm,game_id,verdict,n_derivations,usd_agreed,usd_spread,actions_agreed,actions_spread,usd_per_action,derivations,turns_run_level,turns_decisions,turns_billed_calls,scorecard_total_actions,note
bare_cc-ar25-claude-haiku-4-5-20251001-05257e97,bare_cc,ar25-0c556536,AGREE(known-defect),2,0.9255122000000001,2.0000000011677344e-07,31,1,0.02985523225806452,capability_spectrum|pilot_ledger,41,41,41,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-ar25-claude-haiku-4-5-20251001-0cd850f1,bare_cc,ar25-0c556536,AGREE(known-defect),2,1.0114424,4.0000000001150227e-07,39,1,0.02593442051282051,capability_spectrum|pilot_ledger,49,49,49,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-ar25-claude-haiku-4-5-20251001-0d8cdab8,bare_cc,ar25-0c556536,AGREE(known-defect),2,1.0021635000000002,5.000000002919336e-07,19,1,0.052745447368421065,capability_spectrum|pilot_ledger,29,29,29,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,bare_cc,ar25-0c556536,AGREE(known-defect),2,0.7959840000000001,1.1102230246251565e-16,14,1,0.05685600000000001,capability_spectrum|pilot_ledger,24,24,24,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-ar25-claude-haiku-4-5-20251001-20804484,bare_cc,ar25-0c556536,AGREE(known-defect),2,0.7556092000000002,2.0000000022779574e-07,25,1,0.03022436800000001,capability_spectrum|pilot_ledger,35,35,35,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-ar25-claude-haiku-4-5-20251001-247c595a,bare_cc,ar25-0c556536,AGREE(known-defect),2,0.29335819999999996,1.9999999995023998e-07,8,1,0.036669774999999995,capability_spectrum|pilot_ledger,13,13,13,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,bare_cc,ar25-0c556536,AGREE(known-defect),2,0.7293955000000001,5.00000000069889e-07,11,1,0.06630868181818182,capability_spectrum|pilot_ledger,21,21,21,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-ar25-claude-haiku-4-5-20251001-42306405,bare_cc,ar25-0c556536,AGREE(known-defect),3,0.4420823,3.000000000086267e-07,15,1,0.02947215333333333,capability_spectrum|pilot_ledger|pilot_rollup,20,20,20,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-ar25-claude-haiku-4-5-20251001-49073b7e,bare_cc,ar25-0c556536,AGREE(known-defect),2,0.932016,0.0,33,1,0.02824290909090909,capability_spectrum|pilot_ledger,43,43,43,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-ar25-claude-haiku-4-5-20251001-4db7c438,bare_cc,ar25-0c556536,AGREE(known-defect),2,0.25605089999999997,1.0000000000287557e-07,10,1,0.025605089999999997,capability_spectrum|pilot_ledger,12,12,12,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
