lane,order,milestone,commit_sha,commit_ts,event_kind,concept,item_id,verdict,label,delta_bits,delta_bits_baseline,trigger,engine,evidence
Button,1,M2,,,proposed,Button,L-02,accept,1 candidate row(s),,,,zero_space,275/275
Button,2,M3,848d683,2026-07-27T17:02:02Z,adjudicated,Button,L-02,accept,accept,,,,,
Button,3,M3,848d683,2026-07-27T17:02:02Z,admitted,Button,L-02,accept,written into theory.dsl,-5,"responsibility-complete (concept_accounts.json, a0-base)",,,
Button,4,M4,,,certified,Button,L-02,accept,cheap layer and Lean both green on the first run,,,no certify->theorize iteration: nothing came back,,
Button,5,M5,,,variant-deleted,Button,L-02,accept,Button is absent from the a0-no-button account,,,,,a0-no-button: Cart
Button,1,M2,,,proposed,Button,O-01,accept,1 candidate row(s),,,,mdl_segmenter,276/276
Button,2,M3,848d683,2026-07-27T17:02:02Z,adjudicated,Button,O-01,accept,accept,,,,,
Button,3,M3,848d683,2026-07-27T17:02:02Z,admitted,Button,O-01,accept,written into theory.dsl,-5,"responsibility-complete (concept_accounts.json, a0-base)",,,
Button,4,M4,,,certified,Button,O-01,accept,cheap layer and Lean both green on the first run,,,no certify->theorize iteration: nothing came back,,
Button,5,M5,,,variant-deleted,Button,O-01,accept,Button is absent from the a0-no-button account,,,,,a0-no-button: Cart
Button,1,M2,,,no-proposal-ABSENT,Button,O-04,admitted anyway,no candidate row: this entry adjudicates something the stream did not propose,,,,,
Button,2,M3,848d683,2026-07-27T17:02:02Z,adjudicated,Button,O-04,admitted anyway,admitted anyway,,,,,
Button,3,M3,848d683,2026-07-27T17:02:02Z,admitted,Button,O-04,admitted anyway,written into theory.dsl,-5,"responsibility-complete (concept_accounts.json, a0-base)",,,
Button,4,M4,,,certified,Button,O-04,admitted anyway,cheap layer and Lean both green on the first run,,,no certify->theorize iteration: nothing came back,,
Button,5,M5,,,variant-deleted,Button,O-04,admitted anyway,Button is absent from the a0-no-button account,,,,,a0-no-button: Cart
Button,1,M2,,,proposed,Button,R-03,accept,1 candidate row(s),,,,cegis_miner,1/1
Button,2,M3,848d683,2026-07-27T17:02:02Z,adjudicated,Button,R-03,accept,accept,,,,,
Button,3,M3,848d683,2026-07-27T17:02:02Z,admitted,Button,R-03,accept,written into theory.dsl,-5,"responsibility-complete (concept_accounts.json, a0-base)",,,
Button,4,M4,,,certified,Button,R-03,accept,cheap layer and Lean both green on the first run,,,no certify->theorize iteration: nothing came back,,
Button,5,M5,,,variant-deleted,Button,R-03,accept,Button is absent from the a0-no-button account,,,,,a0-no-button: Cart
Button,1,M2,,,no-proposal-ABSENT,Button,R-05,"reject, probe-pending",no candidate row: this entry adjudicates something the stream did not propose,,,,,
Button,2,M3,848d683,2026-07-27T17:02:02Z,adjudicated,Button,R-05,"reject, probe-pending","reject, probe-pending",,,,,
Button,4,M4,,,obligation-open,Button,R-05,"reject, probe-pending",entered as a theorem with probe: pending -- the probe is designable and unrunnable on this instance,,,the latch is already pressed by the time the probe could run,,
Button,6,M6,,,settled-by-score,Button,R-05,"reject, probe-pending",233/236 pairs agree; the 3 misses are the ones this entry named,,,,,233/236
Door,1,M2,,,proposed,Door,L-02,accept,1 candidate row(s),,,,zero_space,275/275
Door,2,M3,848d683,2026-07-27T17:02:02Z,adjudicated,Door,L-02,accept,accept,,,,,
Door,3,M3,848d683,2026-07-27T17:02:02Z,admitted,Door,L-02,accept,written into theory.dsl,-1,"responsibility-complete (concept_accounts.json, a0-base)",,,
Door,4,M4,,,certified,Door,L-02,accept,cheap layer and Lean both green on the first run,,,no certify->theorize iteration: nothing came back,,
Door,5,M5,,,variant-deleted,Door,L-02,accept,Door is absent from the a0-no-button account,,,,,a0-no-button: Cart
Door,1,M2,,,proposed,Door,O-02,accept,1 candidate row(s),,,,mdl_segmenter,100/276
Door,2,M3,848d683,2026-07-27T17:02:02Z,adjudicated,Door,O-02,accept,accept,,,,,
Door,3,M3,848d683,2026-07-27T17:02:02Z,admitted,Door,O-02,accept,written into theory.dsl,-1,"responsibility-complete (concept_accounts.json, a0-base)",,,
Door,4,M4,,,certified,Door,O-02,accept,cheap layer and Lean both green on the first run,,,no certify->theorize iteration: nothing came back,,
Door,5,M5,,,variant-deleted,Door,O-02,accept,Door is absent from the a0-no-button account,,,,,a0-no-button: Cart
Door,1,M2,,,no-proposal-ABSENT,Door,O-04,admitted anyway,no candidate row: this entry adjudicates something the stream did not propose,,,,,
Door,2,M3,848d683,2026-07-27T17:02:02Z,adjudicated,Door,O-04,admitted anyway,admitted anyway,,,,,
Door,3,M3,848d683,2026-07-27T17:02:02Z,admitted,Door,O-04,admitted anyway,written into theory.dsl,-1,"responsibility-complete (concept_accounts.json, a0-base)",,,
Door,4,M4,,,certified,Door,O-04,admitted anyway,cheap layer and Lean both green on the first run,,,no certify->theorize iteration: nothing came back,,
Door,5,M5,,,variant-deleted,Door,O-04,admitted anyway,Door is absent from the a0-no-button account,,,,,a0-no-button: Cart
Door,1,M2,,,proposed,Door,R-04,accept,1 candidate row(s),,,,cegis_miner,1/1
Door,2,M3,848d683,2026-07-27T17:02:02Z,adjudicated,Door,R-04,accept,accept,,,,,
Door,3,M3,848d683,2026-07-27T17:02:02Z,admitted,Door,R-04,accept,written into theory.dsl,-1,"responsibility-complete (concept_accounts.json, a0-base)",,,
Door,4,M4,,,certified,Door,R-04,accept,cheap layer and Lean both green on the first run,,,no certify->theorize iteration: nothing came back,,
Door,5,M5,,,variant-deleted,Door,R-04,accept,Door is absent from the a0-no-button account,,,,,a0-no-button: Cart
Door,1,M2,,,no-proposal-ABSENT,Door,R-05,"reject, probe-pending",no candidate row: this entry adjudicates something the stream did not propose,,,,,
Door,2,M3,848d683,2026-07-27T17:02:02Z,adjudicated,Door,R-05,"reject, probe-pending","reject, probe-pending",,,,,
Door,4,M4,,,obligation-open,Door,R-05,"reject, probe-pending",entered as a theorem with probe: pending -- the probe is designable and unrunnable on this instance,,,the latch is already pressed by the time the probe could run,,
Door,6,M6,,,settled-by-score,Door,R-05,"reject, probe-pending",233/236 pairs agree; the 3 misses are the ones this entry named,,,,,233/236
Cart,1,M2,,,proposed,Cart,L-01,accept,1 candidate row(s),,,,zero_space,275/275
Cart,2,M3,848d683,2026-07-27T17:02:02Z,adjudicated,Cart,L-01,accept,accept,,,,,
Cart,3,M3,848d683,2026-07-27T17:02:02Z,admitted,Cart,L-01,accept,written into theory.dsl,2125,"responsibility-complete (concept_accounts.json, a0-base)",,,
Cart,4,M4,,,certified,Cart,L-01,accept,cheap layer and Lean both green on the first run,,,no certify->theorize iteration: nothing came back,,
Cart,5,M5,,,variant-carried,Cart,L-01,accept,Cart is present in the a0-no-button account,,,,,a0-no-button: Cart
Cart,1,M2,,,proposed,Cart,O-03,accept,1 candidate row(s),,,,mdl_segmenter,276/276
Cart,2,M3,848d683,2026-07-27T17:02:02Z,adjudicated,Cart,O-03,accept,accept,,,,,
Cart,3,M3,848d683,2026-07-27T17:02:02Z,admitted,Cart,O-03,accept,written into theory.dsl,2125,"responsibility-complete (concept_accounts.json, a0-base)",,,
Cart,4,M4,,,certified,Cart,O-03,accept,cheap layer and Lean both green on the first run,,,no certify->theorize iteration: nothing came back,,
Cart,5,M5,,,variant-carried,Cart,O-03,accept,Cart is present in the a0-no-button account,,,,,a0-no-button: Cart
Cart,1,M2,,,proposed,Cart,R-01,accept,"5 candidate row(s), 1 of them lifted",,,,cegis_miner,212/212 frontier 3
