20 ('cegis_miner', 'applicable_equals_support', 'skipped', 'unminable')
54 ('cegis_miner', 'effects_agree_with_the_evidence', 'skipped', 'mined_track_is_not_the_mover')
20 ('cegis_miner', 'effects_agree_with_the_evidence', 'skipped', 'unminable')
20 ('cegis_miner', 'frontier_guards_are_consistent', 'skipped', 'unminable')
20 ('cegis_miner', 'frontier_is_complete_to_size', 'skipped', 'unminable')
20 ('cegis_miner', 'guards_partition_the_evidence', 'skipped', 'unminable')
20 ('cegis_miner', 'rules_fire_on_the_action_they_name', 'skipped', 'unminable')
233 ('lp_potential', 'certificate_implies_unreachable', 'skipped', 'no_certificate')
233 ('lp_potential', 'heuristic_is_admissible', 'skipped', 'no_certificate')
233 ('lp_potential', 'infinite_means_unreachable', 'skipped', 'no_certificate')
233 ('lp_potential', 'three_conditions_hold', 'skipped', 'no_certificate')
