run_id,arm,game_id,verdict,n_derivations,usd_agreed,usd_spread,actions_agreed,actions_spread,usd_per_action,derivations,turns_run_level,turns_decisions,turns_billed_calls,scorecard_total_actions,note
bare_cc-ar25-claude-haiku-4-5-20251001-05257e97,bare_cc,ar25-0c556536,UNCORROBORATED,1,0.925512,0.0,32,0,0.02892225,capability_spectrum,41,41,41,,only capability_spectrum covers this run
bare_cc-ar25-claude-haiku-4-5-20251001-0cd850f1,bare_cc,ar25-0c556536,UNCORROBORATED,1,1.011442,0.0,40,0,0.025286049999999997,capability_spectrum,49,49,49,,only capability_spectrum covers this run
bare_cc-ar25-claude-haiku-4-5-20251001-0d8cdab8,bare_cc,ar25-0c556536,AGREE(known-defect),2,1.0021635000000002,5.000000002919336e-07,19,1,0.052745447368421065,capability_spectrum|pilot_ledger,29,29,29,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-ar25-claude-haiku-4-5-20251001-1ebe643b,bare_cc,ar25-0c556536,AGREE(known-defect),2,0.7959840000000001,1.1102230246251565e-16,14,1,0.05685600000000001,capability_spectrum|pilot_ledger,24,24,24,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-ar25-claude-haiku-4-5-20251001-20804484,bare_cc,ar25-0c556536,UNCORROBORATED,1,0.755609,0.0,26,0,0.029061884615384614,capability_spectrum,35,35,35,,only capability_spectrum covers this run
bare_cc-ar25-claude-haiku-4-5-20251001-247c595a,bare_cc,ar25-0c556536,UNCORROBORATED,1,0.293358,0.0,9,0,0.03259533333333334,capability_spectrum,13,13,13,,only capability_spectrum covers this run
bare_cc-ar25-claude-haiku-4-5-20251001-24d8edcd,bare_cc,ar25-0c556536,AGREE(known-defect),2,0.7293955000000001,5.00000000069889e-07,11,1,0.06630868181818182,capability_spectrum|pilot_ledger,21,21,21,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-ar25-claude-haiku-4-5-20251001-42306405,bare_cc,ar25-0c556536,AGREE(known-defect),3,0.4420823,3.000000000086267e-07,15,1,0.02947215333333333,capability_spectrum|pilot_ledger|pilot_rollup,20,20,20,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-ar25-claude-haiku-4-5-20251001-49073b7e,bare_cc,ar25-0c556536,UNCORROBORATED,1,0.932016,0.0,34,0,0.027412235294117647,capability_spectrum,43,43,43,,only capability_spectrum covers this run
bare_cc-ar25-claude-haiku-4-5-20251001-4db7c438,bare_cc,ar25-0c556536,UNCORROBORATED,1,0.256051,0.0,11,0,0.023277363636363634,capability_spectrum,12,12,12,,only capability_spectrum covers this run
bare_cc-ar25-claude-haiku-4-5-20251001-55ea5593,bare_cc,ar25-0c556536,AGREE(known-defect),2,0.0250082,2.0000000000228169e-07,1,1,0.0250082,capability_spectrum|pilot_ledger,1,,,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-ar25-claude-haiku-4-5-20251001-5d725cbe,bare_cc,ar25-0c556536,UNCORROBORATED,1,0.860542,0.0,31,0,0.02775941935483871,capability_spectrum,40,40,40,,only capability_spectrum covers this run
bare_cc-ar25-claude-haiku-4-5-20251001-76390591,bare_cc,ar25-0c556536,UNCORROBORATED,1,1.646255,0.0,68,0,0.024209632352941178,capability_spectrum,75,75,75,,only capability_spectrum covers this run
bare_cc-ar25-claude-haiku-4-5-20251001-9d5fb85d,bare_cc,ar25-0c556536,UNCORROBORATED,1,1.21616,0.0,46,0,0.026438260869565217,capability_spectrum,55,55,55,,only capability_spectrum covers this run
bare_cc-ar25-claude-haiku-4-5-20251001-af4a5bb6,bare_cc,ar25-0c556536,UNCORROBORATED,1,1.023836,0.0,35,0,0.029252457142857142,capability_spectrum,44,44,44,,only capability_spectrum covers this run
bare_cc-ar25-claude-haiku-4-5-20251001-cfc26bc8,bare_cc,ar25-0c556536,UNCORROBORATED,1,0.862826,0.0,29,0,0.02975262068965517,capability_spectrum,38,38,38,,only capability_spectrum covers this run
bare_cc-ar25-claude-haiku-4-5-20251001-d396aabd,bare_cc,ar25-0c556536,UNCORROBORATED,1,0.925613,0.0,35,0,0.026446085714285715,capability_spectrum,44,44,44,,only capability_spectrum covers this run
bare_cc-ar25-claude-haiku-4-5-20251001-d919fde0,bare_cc,ar25-0c556536,UNCORROBORATED,1,0.668933,0.0,23,0,0.02908404347826087,capability_spectrum,32,32,32,,only capability_spectrum covers this run
bare_cc-ar25-claude-haiku-4-5-20251001-f5de007d,bare_cc,ar25-0c556536,UNCORROBORATED,1,0.733757,0.0,26,0,0.028221423076923078,capability_spectrum,35,35,35,,only capability_spectrum covers this run
bare_cc-ar25-claude-opus-5-2f8b6919,bare_cc,ar25-0c556536,AGREE(known-defect),3,1.300445,0.0,7,1,0.18577785714285716,capability_spectrum|pilot_ledger|pilot_rollup,17,17,17,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-ar25-claude-sonnet-5-fe359600,bare_cc,ar25-0c556536,AGREE(known-defect),3,0.08226570000000001,2.999999999947489e-07,0,1,,capability_spectrum|pilot_ledger|pilot_rollup,1,,,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-g50t-claude-haiku-4-5-20251001-043feb9c,bare_cc,g50t-5849a774,UNCORROBORATED,1,0.859655,0.0,26,0,0.03306365384615385,capability_spectrum,35,35,35,,only capability_spectrum covers this run
bare_cc-g50t-claude-haiku-4-5-20251001-04530b38,bare_cc,g50t-5849a774,UNCORROBORATED,1,1.260598,0.0,41,0,0.03074629268292683,capability_spectrum,50,50,50,,only capability_spectrum covers this run
bare_cc-g50t-claude-haiku-4-5-20251001-069d86f8,bare_cc,g50t-5849a774,AGREE(known-defect),2,0.0249662,2.0000000000228169e-07,0,1,,capability_spectrum|pilot_ledger,1,,,,RESET_IN_DENOMINATOR: counts the successful RESET as an action; proxy/SCORING.md:60-62 says total_actions counts successful non-RESET commands
bare_cc-g50t-claude-haiku-4-5-20251001-16527b65,bare_cc,g50t-5849a774,UNCORROBORATED,1,0.27191,0.0,9,0,0.03021222222222222,capability_spectrum,11,11,11,,only capability_spectrum covers this run
bare_cc-g50t-claude-haiku-4-5-20251001-29065be4,bare_cc,g50t-5849a774,UNCORROBORATED,1,0.0,0.0,0,0,,pilot_ledger,,,,,only pilot_ledger covers this run
