defect	path	from_class	to_class	size
defect-1	CLAUDE.md	C	A	7440
defect-1	PARTNER_SYNC.md	C	A	620853
defect-1	ablation-arm/runs/2026-07-29T1400Z-A15-ablation-calibration-uncommitted/INBOX-NOTE-copy.md	C	A	6540
defect-1	ablation-arm/runs/2026-07-29T1400Z-A15-ablation-calibration-uncommitted/worktree_census.json	C	A	284503
defect-1	arc-recon/README.md	C	A	36102
defect-1	arc-recon/cascade/README.md	C	A	5140
defect-1	arc-recon/cascade/VERDICT.md	C	A	12985
defect-1	arc-recon/cascade/probe.py	C	A	15467
defect-1	arc-recon/cascade/runs/2026-07-28T034709Z-p20-followup/predictions/tn36-ef4dde99.md	C	A	3354
defect-1	arc-recon/cascade/runs/2026-07-28T034709Z-p20-followup/steps.tn36-ef4dde99.jsonl	B	A	2102
defect-1	arc-recon/cascade/runs/2026-07-28T034709Z-p20-followup/summary.tn36-ef4dde99.json	B	A	4147
defect-1	arc-recon/cascade/runs/2026-07-28T034709Z-p20/predictions/ar25-0c556536.md	C	A	8332
defect-1	arc-recon/cascade/runs/2026-07-28T034709Z-p20/predictions/g50t-5849a774.md	C	A	9544
defect-1	arc-recon/cascade/runs/2026-07-28T034709Z-p20/predictions/sk48-d8078629.md	C	A	7973
defect-1	arc-recon/cascade/runs/2026-07-28T034709Z-p20/predictions/tn36-ef4dde99.md	C	A	11889
defect-1	arc-recon/cascade/runs/2026-07-28T034709Z-p20/steps.ar25-0c556536.jsonl	B	A	4352
defect-1	arc-recon/cascade/runs/2026-07-28T034709Z-p20/steps.g50t-5849a774.jsonl	B	A	5491
defect-1	arc-recon/cascade/runs/2026-07-28T034709Z-p20/steps.sk48-d8078629.jsonl	B	A	4538
defect-1	arc-recon/cascade/runs/2026-07-28T034709Z-p20/steps.tn36-ef4dde99.jsonl	B	A	1707
defect-1	arc-recon/cascade/runs/2026-07-28T034709Z-p20/summary.ar25-0c556536.json	B	A	7813
defect-1	arc-recon/cascade/runs/2026-07-28T034709Z-p20/summary.g50t-5849a774.json	B	A	10935
defect-1	arc-recon/cascade/runs/2026-07-28T034709Z-p20/summary.sk48-d8078629.json	B	A	8276
